,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
855,855,a1802,b2108,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,"she rocks, vol. 1",various artists,Jan 20 2017
856,856,a1802,b2205,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017
857,857,a1802,b2355,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017
858,858,a1802,b2541,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,the fate of the furious: the album,various artists,Apr 14 2017
859,859,a1802,b2574,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,guardians of the galaxy vol. 2,various artists,Apr 21 2017
860,860,a1802,b2652,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,cover stories: brandi carlile celebrates 10 years of the story – an album to benefit war child,various artists,May 5 2017
861,861,a1802,b2892,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,punk goes pop vol. 7,various artists,Jul 14 2017
862,862,a1802,b301,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,"the hunger games: mockingjay, part 1 – original motion picture soundtrack",various artists,Nov 17 2014
863,863,a1802,b3178,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,quality control: control the streets volume 1,various artists,Dec 8 2017
864,864,a1802,b320,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,i'll be home for christmas,various artists,Nov 24 2014
865,865,a1802,b321,i'm a freak baby: a journey through the british heavy psych & hard rock underground scene 1968-1972,various artists,Jul 29 2016,shady xv,various artists,Nov 24 2014
866,866,a1804,b1977,live in san francisco,thee oh sees,Jul 29 2016,an odd entrances,thee oh sees,Nov 18 2016
867,867,a1813,b1588,ambulance,the amazing,Jul 22 2016,retrograde,crown the empire,Jul 22 2016
868,868,a1816,b1592,periphery iii: select difficulty,periphery,Jul 22 2016,periphery iii: select difficulty,periphery,Jul 22 2016
869,869,a1816,b383,periphery iii: select difficulty,periphery,Jul 22 2016,juggernaut: alpha,periphery,Jan 27 2015
870,870,a1816,b384,periphery iii: select difficulty,periphery,Jul 22 2016,juggernaut: omega,periphery,Jan 27 2015
871,871,a1817,b1589,everybody looking,gucci mane,Jul 22 2016,everybody looking,gucci mane,Jul 22 2016
872,872,a1817,b2729,everybody looking,gucci mane,Jul 22 2016,droptopwop,gucci mane,May 26 2017
873,873,a1817,b3067,everybody looking,gucci mane,Jul 22 2016,mr. davis,gucci mane,Oct 13 2017
874,874,a1817,b3187,everybody looking,gucci mane,Jul 22 2016,el gato: the human glacier,gucci mane,Dec 22 2017
875,875,a1820,b1591,lil durk 2x,lil durk,Jul 22 2016,lil durk 2x,lil durk,Jul 22 2016
876,876,a1822,b3154,vulnicura live,björk,Jul 22 2016,utopia,björk,Nov 24 2017
877,877,a1822,b365,vulnicura live,björk,Jul 22 2016,vulnicura,björk,Jan 20 2015
878,878,a1822,b988,vulnicura live,björk,Jul 22 2016,vulnicura strings,björk,Nov 6 2015
879,879,a1823,b1052,late nights: europe [mixtape],jeremih,Jul 20 2016,late nights,jeremih,Dec 4 2015
880,880,a1824,b1585,love & hate,michael kiwanuka,Jul 15 2016,love & hate,michael kiwanuka,Jul 15 2016
881,881,a1825,b1567,coolaid,snoop dogg,Jul 15 2016,coolaid,snoop dogg,Jul 1 2016
882,882,a1825,b2714,coolaid,snoop dogg,Jul 15 2016,neva left,snoop dogg,May 19 2017
883,883,a1825,b600,coolaid,snoop dogg,Jul 15 2016,bush,snoop dogg,May 12 2015
884,884,a1827,b1586,we're all somebody from somewhere,steven tyler,Jul 15 2016,we're all somebody from somewhere,steven tyler,Jul 15 2016
885,885,a1828,b1583,youth authority,good charlotte,Jul 15 2016,youth authority,good charlotte,Jul 15 2016
886,886,a1838,b1568,hit reset,the julie ruin,Jul 8 2016,wildflower,the avalanches,Jul 8 2016
887,887,a1839,b1568,wildflower,the avalanches,Jul 8 2016,wildflower,the avalanches,Jul 8 2016
888,888,a1840,b1577,nothing's real,shura,Jul 8 2016,nothing's real,shura,Jul 8 2016
889,889,a1841,b1575,take her up to monto,roisin murphy,Jul 8 2016,take her up to monto,róisín murphy,Jul 8 2016
890,890,a1844,b145,cheetah [ep],aphex twin,Jul 8 2016,syro,aphex twin,Sep 19 2014
891,891,a1844,b2770,cheetah [ep],aphex twin,Jul 8 2016,london 03.06.17,aphex twin,Jun 3 2017
892,892,a1845,b1569,ellipsis,biffy clyro,Jul 8 2016,ellipsis,biffy clyro,Jul 8 2016
893,893,a1845,b40,ellipsis,biffy clyro,Jul 8 2016,similarities,biffy clyro,Jul 18 2014
894,894,a1849,b1576,blank face lp,schoolboy q,Jul 8 2016,blank face lp,schoolboy q,Jul 8 2016
895,895,a1855,b1568,vanilla,evans the death,Jul 8 2016,wildflower,the avalanches,Jul 8 2016
