Album,Artist,Genre,Label,Producer,Release Date,Meta Score
My Voice,Taeyeon,"['Pop', ' R&B', ' PBR&B']","['S.M. Entertainment', ' KT Music']",,Feb 28 2017,
Only When We're Naked,Zak Abel,['Pop'],['Atlantic'],"['Sky Adams', ' Eg White']",Mar 1 2017,
World Eater,Blanck Mass,['Electronic'],['Sacred Bones'],,Mar 3 2017,
Fences,Bombadil,,['Ramseur Records'],['John Vanderslice'],Mar 3 2017,
Emerald Island,Caro Emerald,['Exotica'],['Grandmono'],"['David Schreurs', ' Jan van Wieringen']",Mar 3 2017,
Freedom Is Free,Chicano Batman,,,,Mar 3 2017,
stuff i used to do,deadmau5,"['Progressive house', ' electro house', ' downtempo', ' IDM']",['mau5trap'],['deadmau5'],Mar 3 2017,
÷,Ed Sheeran,"['Pop', ' folk']",['Asylum'],"['Ed Sheeran', ' Benny Blanco', ' Steve Mac', ' Johnny McDaid', ' Will Hicks', ' Labrinth', ' Mike Elizondo', ' KillBeatz']",Mar 3 2017,
Girotondo,Giusy Ferreri,,['Sony Music Italy'],['Fabrizio Ferraguzzo'],Mar 3 2017,
Last Place,Grandaddy,"['Indie rock', ' indie pop']",['30th Century Records'],['Jason Lytle'],Mar 3 2017,
I Say Yes,J Sutta,,['Premier League Music'],"['Cid', ' The Code', "" D'Town Tha Great"", ' Danny Majic', ' Dave Audé', ' Diego Ave', ' El Bastardo', ' Geoffrey Earley', ' K-Z', ' Mams Taylor', ' Rico Love', ' S-X', ' Shawn Wasabi', ' soFly & Nius']",Mar 3 2017,
How I Like It,James Maslow,['Pop'],['Membran'],,Mar 3 2017,
Season of the Witch,John 5 and the Creatures,"['Instrumental rock', ' country', ' industrial metal']",['60 Cycle Hum'],['John 5'],Mar 3 2017,
Jona,Jona,"['R&B', ' pop']",['Star Music'],,Mar 3 2017,
Gleisdreieck,Joy Denalane,"['R&B', ' PBR&B']",['Nesola'],,Mar 3 2017,
American Teen,Khalid,"['R&B', ' Alternative R&B']","['Right Hand', ' RCA']","['Alfredo Gonzalez', ' The Arcade', ' Bryan Medina', ' Daniel Picciotto', ' Dave Sava6e', ' DJDS', ' Hiko Momoji', ' !llmind', ' Joel Little', ' OZ', ' Sevn Thomas', ' Scribz', ' Skrittzy', ' Smash David', ' Syk Sense', ' Taz Taylor', ' Tiggi', ' Tunji Ige', ' UNO Stereo']",Mar 3 2017,
Wired,Mallory Knox,['Alternative rock'],['RCA'],"['Dan Austin', ' Gethin Pearson']",Mar 3 2017,
Plates Coutures,Matmatah,['French rock'],['La Ouache Production'],"['Bruno Green', ' Matmatah']",Mar 3 2017,
Everything Is Forgotten,Methyl Ethel,['Rock'],['4AD'],,Mar 3 2017,
VOIDS,Minus the Bear,"['Math rock', ' experimental rock', ' progressive rock']",['Suicide Squeeze'],['Minus the Bear'],Mar 3 2017,
Two Devils Will Talk,The Real McKenzies,['Celtic punk'],['Fat Wreck Chords'],,Mar 3 2017,
English Tapas,Sleaford Mods,['Post-punk'],['Rough Trade'],['Sleaford Mods'],Mar 3 2017,
Volcano,Temples,['Psychedelic pop'],"['Heavenly Recordings', ' Fat Possum']",['James Bagshaw'],Mar 3 2017,
Dream Machine,Tokio Hotel,"['Electropop', ' Synth-pop']",['Starwatch Music'],"['Bill Kaulitz', ' Georg Listing', ' Gustav Schäfer', ' Tom Kaulitz']",Mar 3 2017,
Moh Lhean,Why?,"['Indie pop', ' hip hop']",['Joyful Noise'],"['Josiah Wolf', ' Yoni Wolf']",Mar 3 2017,
Halfway Human,Within the Ruins,"['Deathcore', ' progressive metal', ' metalcore']",['eOne'],"['Jim Fogarty', ' Joe Cocchi']",Mar 3 2017,
We Are X,X Japan,"['Heavy metal', ' power metal', ' speed metal', ' glam metal', ' progressive rock', ' symphonic metal']",['Legacy'],,Mar 3 2017,
Feel'eM,BtoB,"['K-pop', ' ballad', ' dance-pop']","['Cube Entertainment', ' LOEN Entertainment']",,Mar 6 2017,
The Awakening,GFriend,['K-pop'],"['Source Music', ' LOEN Entertainment']",,Mar 6 2017,
Rose,B.A.P,"['K-pop', ' hip hop', ' R&B', ' rock']","['TS Entertainment', ' LOEN Entertainment']",,Mar 7 2017,
Rollin',Brave Girls,['K-pop'],['Brave Entertainment'],,Mar 7 2017,
Western Ware,Hyperbubble,"['Synth-pop', ' electropop']",['Fellowshipwreck'],"['Jeff DeCuir', ' Jess DeCuir']",Mar 7 2017,
Change Your Pops,Ame no Parade,,,,Mar 8 2017,
W Face: Inside/Outside,Koda Kumi,"['J-pop', ' hip hop']",['Rhythm Zone'],,Mar 8 2017,
In Droves,BL∀CK MAP,"['Hard rock', ' alternative rock']","['eOne Music', ' SPV']",['Aaron Hellam'],Mar 10 2017,
Off the Grid,Bliss n Eso,['Hip hop'],['Illusive Sounds'],['Bliss n Eso'],Mar 10 2017,
Black and White Rainbows,Bush,['Alternative rock'],['Zuma Rock Records'],"['Bob Rock', ' Gavin Rossdale']",Mar 10 2017,
Number 1 Angel,Charli XCX,"['Bubblegum pop', ' hip hop']",['Vroom Vroom'],"['A. G. Cook', ' SOPHIE', ' Danny L Harle', ' Life Sim', ' EasyFun', ' John Hill']",Mar 10 2017,
Different Creatures,Circa Waves,,['Virgin EMI'],['Alan Moulder'],Mar 10 2017,
Godless Prophets & the Migrant Flora,Darkest Hour,"['Metalcore', ' Melodic death metal']",['Southern Lord'],"['Darkest Hour', ' Kurt Ballou']",Mar 10 2017,
DM,Dulce María,"['Pop', ' Latin pop']",['Universal Music Latin'],"['Andrés Saavedra', ' Ettore Grenci', ' Victor Delgado ""Predikador""']",Mar 10 2017,
50:50@50,Fairport Convention,['Folk rock'],['Matty Grooves'],"['Fairport Convention', ' John Gale']",Mar 10 2017,
Millport,Greg Graffin,"['Country rock', ' folk', ' roots rock', ' Americana']",['Anti-'],['Brett Gurewitz'],Mar 10 2017,
Conformicide,Havok,['Thrash metal'],['Century Media'],['Steve Evetts'],Mar 10 2017,
The Navigator,Hurray for the Riff Raff,"['Americana', ' folk']",['ATO'],['Paul Butler'],Mar 10 2017,
The Never Story,J.I.D,['Hip hop'],"['Dreamville', ' Interscope']","['Childish Major', ' Christo', ' Hollywood JB', ' The Imaginary Kids', ' J. Cole', ' Latrell James', ' OZ the Additive', ' Sean McVerry', ' SMKA', ' Tha Officialz']",Mar 10 2017,
Everybody Works,Jay Som,['Bedroom pop'],"['Double Denim', ' Polyvinyl']",['Melina Duterte'],Mar 10 2017,
Garcia Live Volume Eight,Jerry Garcia Band,"['Rock', ' rhythm and blues']","['Round', ' ATO']","['Jerry Garcia', ' Kevin Monty', ' Marc Allan']",Mar 10 2017,
Stars Are Rising,Joanna Forest,['Classical crossover'],['Arts Records'],"['Robert Emery', ' Moritz Schneider']",Mar 10 2017,
Deep South,Josh Turner,['Country'],['MCA Nashville'],"['Frank Rogers', ' Kenny Greenberg']",Mar 10 2017,
Semper Femina,Laura Marling,"['Folk', ' folk rock', ' alternative rock']",['More Alarming Records'],['Blake Mills'],Mar 10 2017,
50 Song Memoir,The Magnetic Fields,['Indie pop'],['Nonesuch'],"['Charles Newman', ' Stephin Merritt', ' Thomas Bartlett']",Mar 10 2017,
Movie,Mod Sun,,['Rostrum'],,Mar 10 2017,
If Not Now Then When,The Motels,['New wave'],['Sunset Blvd Records'],,Mar 10 2017,
Captain California,Murs,['Hip hop'],['Strange Music'],"['Anthony Cruz', ' ARCiTEC', ' Buttercream Bob', ' DJ Fresh', ' DJ Rek', ' K-R.O.K.', ' MOD', ' Mr. Len', ' Seven', ' Wax Roof']",Mar 10 2017,
Missing Link,Nick Murphy,['Experimental pop'],['Downtown'],['Kaytranada'],Mar 10 2017,
Stereotomic,Nypan,['Jazz'],['Losen'],,Mar 10 2017,
Rarities,Smile Empty Soul,"['Alternative rock', ' post-grunge']",['MRAfia'],"['Eddie Wohl', ' Jake Kilmer', ' James Murray', ' John Lewis Parker', ' Marcus', ' Smile Empty Soul']",Mar 10 2017,
Elektrac,Shobaleader One,['Electronic'],['Wrap'],['Squarepusher'],Mar 10 2017,
Trophy,Sunny Sweeney,['Country'],,,Mar 10 2017,
Heartworms,The Shins,['Indie pop'],['Columbia'],"['James Mercer', ' Richard Swift']",Mar 10 2017,
Yours Conditionally,Tennis,"['Indie rock', ' indie pop']",['Mutually Detrimental'],,Mar 10 2017,
The Order of Time,Valerie June,"['Americana', ' roots rock']",['Concord'],['Matt Marinelli'],Mar 10 2017,
Beauty and the Beast: Original Motion Picture Soundtrack,Various artists,,['Walt Disney'],"['Alan Menken', ' Matt Sullivan', ' Mitchell Leib']",Mar 10 2017,
Her Greatest from Abbey Road,Vera Lynn,['Pop'],"['Parlophone', ' Warner Music']","['David R. Gooch', ' Harry Lewis', ' Norman Newell', ' Stephen James', ' Walter J. Ridley']",Mar 10 2017,
Tremulous,Western Addiction,"['Punk rock', ' hardcore punk']",['Fat Wreck Chords'],['Joey Cape'],Mar 10 2017,
Packs,Your Old Droog,['Hip hop'],"['Droog Recordings', ' Fat Beats']","['88-Keys', ' Alchemist', ' E. Dan', ' Edan', ' Nice Rec', ' The Purist', ' RTNC', ' Your Old Droog']",Mar 10 2017,
Guten Morgen Freiheit,Yvonne Catterfeld,"['Pop', ' adult contemporary']",['Veritable Records'],"['Beatgees', ' Greatest Kidz']",Mar 10 2017,
Flight Log: Arrival,Got7,"['K-pop', ' hip hop', ' R&B', ' dance', ' trap']",['JYP Entertainment'],"['GOT7', ' HeavyMental', ' Park Jin-young']",Mar 13 2017,
Love & Live,Loona 1/3,"['K-pop', ' pop', ' ballad']","['Blockberry Creative', ' CJ E&M']",,Mar 13 2017,
Blkswn,Smino,"['Neo soul', ' hip hop', ' R&B', ' funk', ' jazz fusion']","['Zero Fatigue LLC', ' Downtown']","['J. Bird', ' J. Robb', ' Monte Booker', ' Phoelix', ' Sango', ' THEMpeople']",Mar 14 2017,
Queen,Ten Walls,,,,Mar 15 2017,
The Two of Us,Chloe x Halle,['R&B'],,"['Chloe Bailey', ' Halle Bailey']",Mar 16 2017,
Paradise,Anohni,['Electronic'],"['Secretly Canadian', ' Rough Trade']","['Hudson Mohawke', ' Oneohtrix Point Never']",Mar 17 2017,
"The Sick, Dumb & Happy",The Charm The Fury,"['Nu metal', ' groove metal']",['Nuclear Blast'],"['Daniel Gibson', ' Mathijs Tieken', ' Robert Westerholt']",Mar 17 2017,
Salutations,Conor Oberst,,['Nonesuch'],"['Conor Oberst', ' Jim Keltner']",Mar 17 2017,
Spirit,Depeche Mode,['Electronic'],['Columbia'],['James Ford'],Mar 17 2017,
There Is a Cloud,Elevation Worship,"['Worship', ' CCM', ' Christian rock']","['Elevation Church', ' Provident Label Group']",,Mar 17 2017,
Things I've Never Said,Frances,"['Indie pop', ' soul']",['Capitol'],"['Craze & Hoax', ' Dave McCracken', ' Frances', ' Howard Lawrence', ' Mark Ralph', ' Mojam', ' RITUAL', ' Steve Fitzmaurice', ' Two Inch Punch']",Mar 17 2017,
Scatterbrain,KXM,['Hard rock'],['Rat Pak Records'],"['Chris Collier', ' KXM']",Mar 17 2017,
Blossom,Milky Chance,['Folk'],"['Lichtdicht', ' Ignition']",['Milky Chance'],Mar 17 2017,
Heroína,Nina Rodríguez,['Alternative pop'],,"['Juan Galeano', ' Mauricio García', ' Nina Rodríguez']",Mar 17 2017,
Obituary,Obituary,['Death metal'],['Relapse'],,Mar 17 2017,
Climate Change,Pitbull,"['Pop', ' hip hop']","['RCA', ' Polo Grounds', ' Mr. 305']","['Jimmy Joker', ' AJ Junior', ' IAMCHINO', ' Jorge Gomez', ' Ian Kirkpatrick', ' DJ White Shadow', "" Kro'Nic"", ' Wilberto Madera', ' Leonardo Brooks', ' Ricky Reed', ' Thomas Peyton', ' Dr. Luke', ' Cirkut', ' Twice as Nice', ' Jerome Price', ' Michael Mayeda', ' Richard Pearl', ' Al Burna', ' Genarro ""Geronimo"" Schiano', ' Jason Evigan', ' The Monsters & Strangerz', ' Alex Ross', ' Calper', ' Ape Drums']",Mar 17 2017,
