Album,Artist,Genre,Label,Producer,Release Date,Meta Score
Soul of a Woman,Sharon Jones & the Dap-Kings,['R&B'],['Daptone'],,Nov 17 2017,86
Memory of a Cut Off Head,OCS,['Pop/Rock'],['Castle Face'],,Nov 17 2017,73
Rest,Charlotte Gainsbourg,['Pop/Rock'],['Atlantic'],,Nov 17 2017,80
Out Her Space,Karl Blau,['Pop/Rock'],['Bella Union'],,Nov 17 2017,77
Ascending a Mountain of Heavy Light,The Body,['Pop/Rock'],['Thrill Jockey'],,Nov 17 2017,82
Romaplasm,Baths,['Electronic'],['Anticon'],,Nov 17 2017,73
Bajas Fresh,Bitchin Bajas,['Pop/Rock'],['Drag City'],,Nov 17 2017,77
A Pocket of Wind Resistance,Karine Polwart,['Folk'],['Hudson'],,Nov 17 2017,84
Everyday Is Christmas,Sia,['Holiday'],['Atlantic'],,Nov 17 2017,59
Improvisations,Charles Hayward,['Pop/Rock'],['Care In The Community'],,Nov 17 2017,65
Post Self,Godflesh,['Pop/Rock'],['Shellshock'],,Nov 17 2017,84
Radio Silence,Talib Kweli,['Rap'],['Javotti Media'],,Nov 17 2017,78
Unleash the Love,Mike Love,['Adult Contemporary'],['BMG'],,Nov 17 2017,43
Diggin in the Carts: A Collection Of Pioneering Japanese Video Game Music,Various Artists,['Pop/Rock'],['Hyperdub'],,Nov 17 2017,82
From the Poisonous Tree,Electric Eye,['Pop/Rock'],['Relativity Entertainment'],,Nov 17 2017,64
I Knew You When,Bob Seger,['Pop/Rock'],['Capitol'],,Nov 17 2017,61
Jupiter Calling,The Corrs,['Irish'],['East West'],,Nov 10 2017,58
Kid Kruschev,Sleigh Bells,['Pop/Rock'],[],,Nov 10 2017,65
Out of Range,Gun Outfit,['Pop/Rock'],['Paradise of Bachelors'],,Nov 10 2017,81
reputation,Taylor Swift,['Pop'],['Big Machine Records'],,Nov 10 2017,71
Automatic for the People [25th Anniversary Deluxe Edition],R.E.M.,['Pop/Rock'],['Warner Music'],,Nov 10 2017,96
Phases,Angel Olsen,['Pop/Rock'],['Jagjaguwar'],,Nov 10 2017,79
Interiors,Quicksand,['Pop/Rock'],['Epitaph'],,Nov 10 2017,77
Anthropocene,Peter Oren,['Folk'],['Western Vinyl Records'],,Nov 10 2017,77
Permo,Spinning Coin,['Pop/Rock'],['Geographic'],,Nov 10 2017,75
Stranger,Yung Lean,['Rap'],['Year0001'],,Nov 10 2017,63
Arpo,Call Super,['Electronic'],['Houndstooth'],,Nov 10 2017,83
Introduction to Escape-Ism,Escape-Ism,['Pop/Rock'],['Merge'],,Nov 10 2017,52
Lost in Light,Sumie,['Folk'],['Bella Union'],,Nov 10 2017,63
Savage Young Dü [Box Set],Hüsker Dü,['Pop/Rock'],['Numero'],,Nov 10 2017,90
L'Orange L'Orange,Gregg Kowalsky,['Electronic'],['Mexican Summer'],,Nov 10 2017,77
Dark Eyed Messenger,Adrian Crowley,['Pop/Rock'],['Chemikal Underground'],,Nov 10 2017,84
Synthesis,Evanescence,['Pop/Rock'],['BMG'],,Nov 10 2017,69
Master of Puppets [Remastered & Expanded Edition],Metallica,['Metal'],"['Universal ', ' Universal Distribution']",,Nov 10 2017,95
Rot,Bed Wettin' Bad Boys,['Pop/Rock'],"[""What's Yr Rupture?""]",,Nov 10 2017,76
From the Fires,Greta Van Fleet,['Pop/Rock'],['Republic'],,Nov 10 2017,64
The Moral Crossing,Autobahn,['Pop/Rock'],['Tough Love'],,Nov 10 2017,78
"Lost at Last, Vol. 1",Langhorne Slim,['Country'],['Dualtone Music'],,Nov 10 2017,68
Hesaitix,M.E.S.H.,['Electronic'],['Pan'],,Nov 10 2017,79
Mount Qaf (Divine Love),Peter Matthew Bauer,['Pop/Rock'],['Qoy'],,Nov 10 2017,75
Medicine Songs,Buffy Sainte-Marie,['Folk'],['True North Records'],,Nov 10 2017,81
The Animal Spirits,James Holden & the Animal Spirits,['Electronic'],['Border Community'],,Nov 3 2017,81
The Dusk in Us,Converge,['Pop/Rock'],['Epitaph'],,Nov 3 2017,89
The  Thrill of It All,Sam Smith,['Pop/Rock'],['Capitol'],,Nov 3 2017,72
Revelations,Shamir,['Pop/Rock'],"['Father', 'Daughter Records']",,Nov 3 2017,70
Phantom Brickworks,Bibio,['Electronic'],['Warp'],,Nov 3 2017,78
Scream Above the Sounds,Stereophonics,['Pop/Rock'],"['Parlophone ', ' Warner Music']",,Nov 3 2017,57
Red Pill Blues,Maroon 5,['Pop/Rock'],['Interscope'],,Nov 3 2017,58
